Designator,Mid X,Mid Y,Rotation,Layer
C1,65.03,-28.75,0.0,top
D12,24.985,-23.98,0.0,top
D13,24.9525,-26.0,0.0,top
D14,30.6425,-24.94,0.0,top
D15,36.1625,-24.94,0.0,top
D16,41.8025,-24.97,0.0,top
D17,47.5325,-24.97,0.0,top
D19,68.63,-24.96,90.0,top
D6,66.95,-24.9575,90.0,top
J1,56.0,-23.44,180.0,top
R11,64.7075,-21.22,0.0,top
R12,68.2325,-21.22,0.0,top
R8,64.13,-25.56,90.0,top
SW3,73.6,-25.03,90.0,top
